setting,use_y0_input,use_y0_mask,best_ep,best_val,PHQ_f1,PHQ_acc,PHQ_rec,PHQ_prec,PHQ_n
E1_full_inputON_maskON,True,True,31,0.527441680431366,0.5761768650921564,0.6675,0.5699778233191759,0.6047578450449004,400
E2_inputOFF_maskON,False,True,40,0.5726048946380615,0.4877092937542414,0.6125,0.5028240616986942,0.6523044609139487,400
E3_inputON_maskOFF,True,False,57,0.5382235646247864,0.5717851243881364,0.6375,0.5812022929103923,0.5733903361096343,400
E4_inputOFF_maskOFF,False,False,7,0.7652260065078735,0.30808543608311173,0.4425,0.34041700080192466,0.29765316836459604,400
