variant,phq_acc_mean,phq_acc_std,phq_f1_mean,phq_f1_std,p4_acc_mean,p4_acc_std,p4_f1_mean,p4_f1_std,lon_acc_mean,lon_acc_std,lon_f1_mean,lon_f1_std,best_val_loss_mean,best_val_loss_std,drop_phq_acc_mean,drop_phq_f1_mean,drop_p4_acc_mean,drop_p4_f1_mean,drop_lon_acc_mean,drop_lon_f1_mean
GRU+NoAttn(Both),0.6608333333333333,0.018085445345175578,0.5762926805840265,0.01500292132450974,0.965,0.0,0.6419424743892829,0.0,0.7833333333333333,0.005204164998665346,0.518693771650923,0.03669674524208396,0.5349512696266174,0.0011348190102202901,0.0008333333333333526,-0.004992064875121827,0.0,0.0,-0.0008333333333332416,0.003743155156897049
GRU+NoChAttn,0.6491666666666667,0.018085445345175602,0.5647048005617498,0.018675273137164643,0.965,0.0,0.6419424743892829,0.0,0.7825000000000001,0.0024999999999999745,0.517571586605387,0.027298207299443433,0.5305542945861816,0.001799245821412403,0.012499999999999956,0.006595815147154904,0.0,0.0,0.0,0.004865340202433011
GRU+NoTimeAttn(Last),0.6483333333333333,0.01010362971081847,0.5675124431871582,0.0009523254638011575,0.965,0.0,0.6419424743892829,0.0,0.785,0.007500000000000048,0.521479750595702,0.013167874076207552,0.5360901554425558,0.001373691884156054,0.013333333333333308,0.003788172521746458,0.0,0.0,-0.0024999999999999467,0.0009571762121181049
GRU+NoTimeAttn(Mean),0.6583333333333333,0.021262251370288466,0.5711187858562389,0.01253709963651458,0.965,0.0,0.6419424743892829,0.0,0.785,0.007499999999999979,0.5189749254478258,0.03689630960112711,0.5347304344177246,0.003364283330161071,0.0033333333333332993,0.00018182985266579355,0.0,0.0,-0.0024999999999999467,0.0034620013599943045
GRU+TimeAttn+ChAttn,0.6616666666666666,0.008036375634160813,0.5713006157089047,0.006358302918247485,0.965,0.0,0.6419424743892829,0.0,0.7825000000000001,0.0024999999999999745,0.5224369268078201,0.03137548572365656,0.5295774737993876,0.002949396965481428,0.0,0.0,0.0,0.0,0.0,0.0
LSTM+TimeAttn,0.635,0.015612494995995978,0.5527415667071127,0.0167320936610124,0.965,0.0,0.6419424743892829,0.0,0.7825000000000001,0.009013878188659959,0.5036987018687716,0.054460394772654734,0.5378878911336263,0.0013975015832749537,0.026666666666666616,0.01855904900179195,0.0,0.0,0.0,0.01873822493904842
Transformer(meanpool),0.6466666666666666,0.021262251370288445,0.5671771868466773,0.014528246147758488,0.965,0.0,0.6419424743892829,0.0,0.7791666666666667,0.010408329997330632,0.48479593922854874,0.07904622312487793,0.5307657718658447,0.0006928677805799041,0.015000000000000013,0.004123428862227385,0.0,0.0,0.0033333333333334103,0.03764098757927131
