service,OR,p
service9,1.256561429709816,0.0006282922609891704
service10,1.17087936810533,0.002374558751202085
service8,1.3104747945139303,0.005280931502899224
service15,1.3191437624500075,0.016165458115865613
service5,1.2799323132825227,0.03256161697876777
service6,1.1477569713795486,0.18041212102715887
service11,1.4382318726889733,0.20718464632507738
service3,0.9394466888409255,0.31191959450698037
service12,1.100732482019267,0.45237931050997715
service13,0.8287299226523448,0.48270425026201946
service4,0.9506036072061206,0.5003158847533602
service1,0.9701504665293057,0.6077252961533846
service7,0.9607598558892125,0.6083512584284587
service2,1.038088370386826,0.6094069079635699
service16,1.0089006730166719,0.8891750319103501
service14,0.99219160245813,0.9433375570322905
