service,OR,p
service9,3.619148936170213,0.00019664572363715048
service15,1.9706349206349207,0.004977853194143357
service10,1.4893827160493827,0.005758666557721155
service8,1.6631447088938511,0.006226404859898923
service13,0.47381342062193127,0.044728142047805786
service5,1.4012723268901395,0.06996716485590886
service11,1.545031055900621,0.22577648333286135
service1,1.1904761904761905,0.2644608279869173
service14,1.2354757768770508,0.2651970700338794
service2,1.1714490674318507,0.2989296855493691
service3,0.8685008394096569,0.341911827161571
service4,0.8545128478157312,0.3508072592015815
service7,0.8710122984567163,0.366800055508935
service16,1.071999770701367,0.6557627964330022
service6,1.0452961672473868,0.860318333367736
service12,1.0125889436234263,1.0
