feature,importance
phq_n_obs_pre,0.8404855709337945
phq_n_high_pre,0.8267885358182449
phq_slope_pre,0.41014585372611784
phq_first_pre,0.3212839704687484
phq_mean_pre,0.26580794458116375
phq_std_pre,0.18002391826373212
phq_frac_high_pre,0.12240573254663717
phq_min_pre,0.09709254352904405
