section,feature,importance,class,coef,abs_coef,scaled_coef,abs_scaled_coef,coef_worse_minus_improved,abs
OVERALL_TOP12,phq_n_obs_pre,0.8858489595927023,,,,,,,
OVERALL_TOP12,phq_first_pre,0.8465800875525358,,,,,,,
OVERALL_TOP12,phq_n_high_pre,0.845231942140423,,,,,,,
OVERALL_TOP12,phq_slope_pre,0.5063308735562875,,,,,,,
OVERALL_TOP12,phq_mean_pre,0.3449119388699247,,,,,,,
OVERALL_TOP12,phq_std_pre,0.1842803933811783,,,,,,,
OVERALL_TOP12,phq_frac_high_pre,0.1082290698406835,,,,,,,
OVERALL_TOP12,phq_min_pre,0.0470538534138607,,,,,,,
CLASS_improved_TOP12,phq_n_obs_pre,,improved,0.2923865968690558,0.2923865968690558,1.328773439389116,1.328773439389116,,
CLASS_improved_TOP12,phq_first_pre,,improved,2.113477865721444,2.113477865721444,1.269870131328812,1.269870131328812,,
CLASS_improved_TOP12,phq_n_high_pre,,improved,-0.9402608974337854,0.9402608974337854,-1.2678479132106406,1.2678479132106406,,
CLASS_improved_TOP12,phq_slope_pre,,improved,-1.2762756259838646,1.2762756259838646,-0.7594963103344282,0.7594963103344282,,
CLASS_improved_TOP12,phq_mean_pre,,improved,1.3093256573837813,1.3093256573837813,0.5173679083048897,0.5173679083048897,,
CLASS_improved_TOP12,phq_std_pre,,improved,0.7844124986090116,0.7844124986090116,0.2220774063539178,0.2220774063539178,,
CLASS_improved_TOP12,phq_frac_high_pre,,improved,-0.7464963706166893,0.7464963706166893,-0.1329764672610815,0.1329764672610815,,
CLASS_improved_TOP12,phq_min_pre,,improved,0.1565308727539903,0.1565308727539903,0.0705807801207907,0.0705807801207907,,
CLASS_same_TOP12,phq_n_obs_pre,,same,-0.2109139116902827,0.2109139116902827,-0.9585145381244036,0.9585145381244036,,
CLASS_same_TOP12,phq_n_high_pre,,same,0.6248389066388528,0.6248389066388528,0.8425328608655406,0.8425328608655406,,
CLASS_same_TOP12,phq_first_pre,,same,-0.92865792226238,0.92865792226238,-0.557978380956604,0.557978380956604,,
CLASS_same_TOP12,phq_mean_pre,,same,-0.962092068294556,0.962092068294556,-0.3801617711859904,0.3801617711859904,,
CLASS_same_TOP12,phq_std_pre,,same,-0.9763612124486952,0.9763612124486952,-0.2764205900717679,0.2764205900717679,,
CLASS_same_TOP12,phq_slope_pre,,same,0.3961378142175373,0.3961378142175373,0.2357368597791967,0.2357368597791967,,
CLASS_same_TOP12,phq_frac_high_pre,,same,0.911356078583416,0.911356078583416,0.1623436047610248,0.1623436047610248,,
CLASS_same_TOP12,phq_min_pre,,same,-0.1054580262412591,0.1054580262412591,-0.0475517042175128,0.0475517042175128,,
CLASS_worse_TOP12,phq_first_pre,,worse,-1.184819943459036,1.184819943459036,-0.7118917503721912,0.7118917503721912,,
CLASS_worse_TOP12,phq_slope_pre,,worse,0.8801378117663373,0.8801378117663373,0.5237594505552375,0.5237594505552375,,
CLASS_worse_TOP12,phq_n_high_pre,,worse,0.3154219907949234,0.3154219907949234,0.4253150523450877,0.4253150523450877,,
CLASS_worse_TOP12,phq_n_obs_pre,,worse,-0.0814726851787455,0.0814726851787455,-0.3702589012645871,0.3702589012645871,,
CLASS_worse_TOP12,phq_mean_pre,,worse,-0.3472335890892122,0.3472335890892122,-0.1372061371188941,0.1372061371188941,,
CLASS_worse_TOP12,phq_std_pre,,worse,0.1919487138396806,0.1919487138396806,0.0543431837178491,0.0543431837178491,,
CLASS_worse_TOP12,phq_frac_high_pre,,worse,-0.1648597079667333,0.1648597079667333,-0.0293671374999444,0.0293671374999444,,
CLASS_worse_TOP12,phq_min_pre,,worse,-0.0510728465127329,0.0510728465127329,-0.0230290759032786,0.0230290759032786,,
CONTRAST(worse-improved)_TOP12,phq_first_pre,,,,,,,-3.29829780918048,3.29829780918048
CONTRAST(worse-improved)_TOP12,phq_slope_pre,,,,,,,2.156413437750202,2.156413437750202
CONTRAST(worse-improved)_TOP12,phq_mean_pre,,,,,,,-1.6565592464729937,1.6565592464729937
CONTRAST(worse-improved)_TOP12,phq_n_high_pre,,,,,,,1.2556828882287088,1.2556828882287088
CONTRAST(worse-improved)_TOP12,phq_std_pre,,,,,,,-0.592463784769331,0.592463784769331
CONTRAST(worse-improved)_TOP12,phq_frac_high_pre,,,,,,,0.5816366626499558,0.5816366626499558
CONTRAST(worse-improved)_TOP12,phq_n_obs_pre,,,,,,,-0.3738592820478014,0.3738592820478014
CONTRAST(worse-improved)_TOP12,phq_min_pre,,,,,,,-0.2076037192667233,0.2076037192667233
