class,feature,coef,abs_coef,scaled_coef,abs_scaled_coef
improved,phq_n_obs_pre,0.31188201699995444,0.31188201699995444,1.4173718797316854,1.4173718797316854
improved,phq_n_high_pre,-0.960589670151482,0.960589670151482,-1.295259232918403,1.295259232918403
improved,phq_first_pre,2.0940333090224295,2.0940333090224295,1.258186989447135,1.258186989447135
same,phq_n_obs_pre,-0.20421430410981112,0.20421430410981112,-0.9280676547768488,0.9280676547768488
same,phq_n_high_pre,0.5550370671423684,0.5550370671423684,0.7484120516460825,0.7484120516460825
improved,phq_slope_pre,-1.2390603567493674,1.2390603567493674,-0.7373499501781619,0.7373499501781619
worse,phq_first_pre,-1.2075488998278543,1.2075488998278543,-0.7255483035243038,0.7255483035243038
worse,phq_n_high_pre,0.40555260300911494,0.40555260300911494,0.5468471812723223,0.5468471812723223
same,phq_first_pre,-0.8864844091945546,0.8864844091945546,-0.5326386859228188,0.5326386859228188
worse,phq_slope_pre,0.8277835214342263,0.8277835214342263,0.4926040406046925,0.4926040406046925
worse,phq_n_obs_pre,-0.10766771289006861,0.10766771289006861,-0.489304224954497,0.489304224954497
improved,phq_mean_pre,1.183743081077583,1.183743081077583,0.467745116254132,0.467745116254132
same,phq_mean_pre,-0.9405395509933939,0.9405395509933939,-0.3716454935648158,0.3716454935648158
same,phq_std_pre,-0.9752864438089403,0.9752864438089403,-0.2761163090558858,0.2761163090558858
same,phq_slope_pre,0.4112768353151451,0.4112768353151451,0.24474590957347175,0.24474590957347175
improved,phq_std_pre,0.6957241030992211,0.6957241030992211,0.1969685651722298,0.1969685651722298
same,phq_frac_high_pre,1.0219205494872776,1.0219205494872776,0.18203890848130982,0.18203890848130982
improved,phq_frac_high_pre,-0.8562635202112784,0.8562635202112784,-0.1525297408588471,0.1525297408588471
worse,phq_mean_pre,-0.24320353008417794,0.24320353008417794,-0.09609962268931174,0.09609962268931174
worse,phq_std_pre,0.27956234070970676,0.27956234070970676,0.07914774388365249,0.07914774388365249
same,phq_min_pre,-0.11058449195700111,0.11058449195700111,-0.04986326067352405,0.04986326067352405
worse,phq_frac_high_pre,-0.1656570292760001,0.1656570292760001,-0.029509167622462876,0.029509167622462876
improved,phq_min_pre,0.0569206159045848,0.0569206159045848,0.02566587283912698,0.02566587283912698
worse,phq_min_pre,0.05366387605239483,0.05366387605239483,0.024197387834387383,0.024197387834387383
