class,feature,coef,abs_coef,scaled_coef,abs_scaled_coef
improved,phq_n_obs_pre,0.2774137883684513,0.2774137883684513,1.2607283564006746,1.2607283564006746
improved,phq_first_pre,0.7011432985119186,0.7011432985119186,0.42127762348611986,0.42127762348611986
improved,phq_mean_pre,1.009037735593755,1.009037735593755,0.3987119168717437,0.3987119168717437
improved,phq_std_pre,0.8004866650831367,0.8004866650831367,0.22662821247468323,0.22662821247468323
improved,phq_min_pre,-0.04417248271914814,0.04417248271914814,-0.019917657362644097,0.019917657362644097
improved,phq_slope_pre,-1.033828240676701,1.033828240676701,-0.6152187805891817,0.6152187805891817
improved,phq_n_high_pre,-0.9197439092372476,0.9197439092372476,-1.240182803727366,1.240182803727366
improved,phq_frac_high_pre,-0.6923075444821776,0.6923075444821776,-0.12332358889753438,0.12332358889753438
same,phq_n_obs_pre,-0.20316592002557307,0.20316592002557307,-0.9233031924508357,0.9233031924508357
same,phq_first_pre,-0.8020818941771527,0.8020818941771527,-0.4819259557031229,0.4819259557031229
same,phq_mean_pre,-0.9743496338869397,0.9743496338869397,-0.38500523471676174,0.38500523471676174
same,phq_std_pre,-0.953809398171682,0.953809398171682,-0.27003587739559887,0.27003587739559887
same,phq_min_pre,-0.2788187172328058,0.2788187172328058,-0.1257211579309227,0.1257211579309227
same,phq_slope_pre,0.3685320259702357,0.3685320259702357,0.2193089864492988,0.2193089864492988
same,phq_n_high_pre,0.6221948162625064,0.6221948162625064,0.8389675690671254,0.8389675690671254
same,phq_frac_high_pre,1.0307323954095367,1.0307323954095367,0.18360859881995537,0.18360859881995537
worse,phq_n_obs_pre,-0.0742478683428858,0.0742478683428858,-0.3374251639498731,0.3374251639498731
worse,phq_first_pre,0.1009385956652332,0.1009385956652332,0.060648332217002505,0.060648332217002505
worse,phq_mean_pre,-0.03468810170682504,0.03468810170682504,-0.013706682154985814,0.013706682154985814
worse,phq_std_pre,0.1533227330885407,0.1533227330885407,0.0434076649209143,0.0434076649209143
worse,phq_min_pre,0.32299119995195075,0.32299119995195075,0.14563881529356534,0.14563881529356534
worse,phq_slope_pre,0.665296214706449,0.665296214706449,0.39590979413987315,0.39590979413987315
worse,phq_n_high_pre,0.29754909297474297,0.29754909297474297,0.4012152346602429,0.4012152346602429
worse,phq_frac_high_pre,-0.3384248509273635,0.3384248509273635,-0.060285009922421785,0.060285009922421785
