class,feature,coef,abs_coef,scaled_coef,abs_scaled_coef
improved,phq_n_obs_pre,0.2923865968690558,0.2923865968690558,1.328773439389116,1.328773439389116
improved,phq_first_pre,2.113477865721444,2.113477865721444,1.269870131328812,1.269870131328812
improved,phq_n_high_pre,-0.9402608974337854,0.9402608974337854,-1.2678479132106406,1.2678479132106406
same,phq_n_obs_pre,-0.2109139116902827,0.2109139116902827,-0.9585145381244035,0.9585145381244035
same,phq_n_high_pre,0.6248389066388528,0.6248389066388528,0.8425328608655406,0.8425328608655406
improved,phq_slope_pre,-1.2762756259838646,1.2762756259838646,-0.7594963103344282,0.7594963103344282
worse,phq_first_pre,-1.1848199434590359,1.1848199434590359,-0.7118917503721912,0.7118917503721912
same,phq_first_pre,-0.9286579222623799,0.9286579222623799,-0.557978380956604,0.557978380956604
worse,phq_slope_pre,0.8801378117663373,0.8801378117663373,0.5237594505552375,0.5237594505552375
improved,phq_mean_pre,1.3093256573837813,1.3093256573837813,0.5173679083048897,0.5173679083048897
worse,phq_n_high_pre,0.31542199079492345,0.31542199079492345,0.4253150523450877,0.4253150523450877
same,phq_mean_pre,-0.9620920682945561,0.9620920682945561,-0.3801617711859904,0.3801617711859904
worse,phq_n_obs_pre,-0.08147268517874556,0.08147268517874556,-0.37025890126458716,0.37025890126458716
same,phq_std_pre,-0.9763612124486953,0.9763612124486953,-0.2764205900717679,0.2764205900717679
same,phq_slope_pre,0.3961378142175373,0.3961378142175373,0.2357368597791967,0.2357368597791967
improved,phq_std_pre,0.7844124986090116,0.7844124986090116,0.22207740635391782,0.22207740635391782
same,phq_frac_high_pre,0.911356078583416,0.911356078583416,0.1623436047610248,0.1623436047610248
worse,phq_mean_pre,-0.34723358908921226,0.34723358908921226,-0.13720613711889415,0.13720613711889415
improved,phq_frac_high_pre,-0.7464963706166893,0.7464963706166893,-0.13297646726108156,0.13297646726108156
improved,phq_min_pre,0.15653087275399039,0.15653087275399039,0.07058078012079072,0.07058078012079072
worse,phq_std_pre,0.19194871383968062,0.19194871383968062,0.05434318371784919,0.05434318371784919
same,phq_min_pre,-0.10545802624125913,0.10545802624125913,-0.047551704217512834,0.047551704217512834
worse,phq_frac_high_pre,-0.16485970796673338,0.16485970796673338,-0.029367137499944424,0.029367137499944424
worse,phq_min_pre,-0.051072846512732945,0.051072846512732945,-0.023029075903278656,0.023029075903278656
