name,metrics_phq_acc,metrics_phq_f1,metrics_p4_acc,metrics_p4_f1,metrics_lon_acc,metrics_lon_f1,drop_PHQ_acc,drop_PHQ_f1
BASE,0.6675,0.5761768650921564,0.965,0.6419424743892829,0.7825,0.5372174873589068,0.0,0.0
ABL_noY0,0.49,0.344036876440486,0.9275,0.32079550367488113,0.765,0.28895184135977336,0.1775,0.2321399886516704
ABL_check3_drop,0.6125,0.5357007258514795,0.965,0.6419424743892829,0.78,0.5042265426880812,0.05499999999999994,0.040476139240676834
ABL_time_mean,0.6825,0.5853309343241097,0.965,0.6419424743892829,0.785,0.5436922810468432,-0.015000000000000013,-0.009154069231953277
ABL_ch_uniform,0.635,0.5543317230273752,0.965,0.6419424743892829,0.78,0.5276741836478512,0.03249999999999997,0.021845142064781164
