exp,tag,acc,prec,rec,f1,n
full_y0_path_checks,logit_full_y0_path_checks_NO_LAST,0.7025,0.6566154305606107,0.5925851673646382,0.6009526047346396,400
y0_plus_checks,logit_y0_plus_checks,0.67,0.6517263346348804,0.5506747057134654,0.5516168876288946,400
phq_path_plus_checks,logit_phq_path_plus_checks_NO_LAST,0.6775,0.6264506878164627,0.5475957111883335,0.5431762579409836,400
phq_path_only,logit_phq_path_only_NO_LAST,0.665,0.8214131187262028,0.5329803874978961,0.5230366094226127,400
y0_only,logit_y0_only,0.5975,0.41773663107627157,0.4616858237547892,0.40612848514933403,400
checks_only,logit_checks_only,0.47,0.39879672299027136,0.3664374746304712,0.3476208822962821,400
