feature,beta_improved,beta_same,beta_worse
y0_phq,2.1618149547722045,-0.34457321268592145,-1.8172417420862819
Cz_check1_std,-0.540738161967595,-0.4531533628129662,0.9938915247805665
Cz_check3_chg,0.8583076291130491,0.07247252251396387,-0.9307801516270149
Cz_check6_chg,0.283512150107089,0.4620090346301365,-0.7455211847372307
Cz_check3_slope,-0.2968430279607485,-0.41052812531169397,0.7073711532724452
Cz_check2_std,0.2785548882475077,0.36983279872924024,-0.6483876869767393
Cz_check2_chg,-0.1956093016722096,-0.34672993244835293,0.5423392341205622
Cz_check4_slope,-0.22593011361550477,-0.27067484987810697,0.4966049634936058
Cz_check1_slope,-0.48146437994657765,0.037036123228871724,0.4444282567177068
Cz_check2_min,0.20580214504057492,0.2604609246449807,-0.46626306968555303
Cz_check1_min,-0.2591550617382327,-0.20507673545364444,0.4642317971918734
Cz_check5_slope,0.3851854027416809,0.07271870907606058,-0.45790411181774104
Cz_check2_slope,-0.4238239764365746,-0.003022146185173795,0.42684612262174976
Cz_check3_std,-0.4054825618210145,0.1144978621170463,0.29098469970396684
Cz_check1_mean,-0.38464935095520647,0.3017955394138997,0.08285381154132011
y0_lon,-0.38105410864320455,0.18456899736071303,0.1964851112824923
y0_p4,-0.37259656364573296,0.10763255045946292,0.2649640131862764
Cz_check5_chg,-0.211021946927807,-0.14338383949857922,0.35440578642639603
Cz_check6_min,0.22932060846991842,0.10629110503112932,-0.3356117135010483
Cz_check5_mean,-0.2592400783441652,-0.052081257171939406,0.3113213355161055
y0_phq_x_lon,0.3087267684917492,-0.2570706320373239,-0.05165613645442563
Cz_check6_slope,0.09862769227955144,0.1812849177153102,-0.2799126099948589
Cz_check4_std,0.030396721306972747,-0.2761415573984327,0.24574483609145786
Cz_check2_mean,-0.2079864414470754,-0.05254068188380684,0.2605271233308807
Cz_check1_max,0.24005598091455382,-0.034588904970640516,-0.20546707594392735
Cz_check5_std,0.11296270329894277,0.1215427045373159,-0.23450540783625476
Cz_check3_mean,-0.21277921824043225,0.09919024342808395,0.11358897481235258
Cz_check4_mean,-0.10782251558822152,-0.07825295554042587,0.186075471128647
y0_phq_x_p4,0.16935325660247896,-0.0002193974049158079,-0.16913385919756424
Cz_check6_std,0.030808049358509986,-0.13960501943104292,0.10879697007253057
Cz_check2_max,-0.04897900301402156,-0.076187934427837,0.12516693744186422
Cz_check4_max,-0.10711056470946846,0.09515861053915081,0.011951954170315538
Cz_check1_chg,-0.048512170581143294,-0.05810565095990462,0.10661782154105316
Cz_check3_min,-0.07937511031466198,0.06091238892972303,0.018462721384936445
Cz_check4_min,-0.03854312076482581,-0.037747089930479885,0.07629021069530005
Cz_check5_min,-0.06825952858818528,0.025889921563369445,0.0423696070248327
Cz_check6_mean,-0.01758287581274253,0.059408070772775184,-0.04182519496003065
Cz_check5_max,0.03457392907634051,-0.051442136015576526,0.01686820693923189
Cz_check3_max,-0.0003130879981312701,-0.0347357828271003,0.03504887082523173
Cz_check6_max,-0.03398941195837772,0.026520543330419998,0.007468868627954883
Cz_check4_chg,0.006034752987269109,-0.006212194129869442,0.00017744114260090046
