feature,beta,OR,CI_low,CI_high,p_value
const,-1.2617164213670715,0.2831675742657627,0.25053559622013166,0.3200498305442519,1.025423072133212e-90
y0_PHQ,0.15253657499325204,1.1647850633213708,1.033446143957283,1.3128156234067379,0.012455207177644539
service_total,0.6378357289884415,1.892380819134996,1.1246745760639132,3.184125649183814,0.016280322826062316
service1_int_p20,-0.06181860042770329,0.9400533966094983,0.7843638019860855,1.1266460617374736,0.5033798587983103
service1_rst_p20,0.0659862104729709,1.0682119869263655,0.9407655665299853,1.2129236970503041,0.3086831775552312
service2_int_p20,-0.211752260800831,0.8091651346598683,0.6620375146447045,0.988989597516247,0.03862758573970484
service2_rst_p20,0.06364256925743934,1.065711412655907,0.9154444995787039,1.2406440975807136,0.4118066947695225
service3_int_p20,-0.06882582931679743,0.9334892523809759,0.7697831264208768,1.1320099835942061,0.4841728863382818
service3_rst_p20,-0.06854176395179387,0.9337544620128324,0.7940751662394007,1.0980036051977622,0.40705370722004497
service4_int_p20,-0.09935107307103784,0.9054247819603777,0.7487080550644687,1.0949448590043656,0.3055577508192583
service4_rst_p20,-0.0328872087742842,0.9676476956037721,0.8236829079304394,1.136774909121175,0.6890378416336587
service5_rst_p20,0.029452384864846977,1.0298903959339936,0.8973153397691289,1.1820529312582353,0.6752779587168839
service6_int_p20,-0.20876535819781963,0.8115856452219331,0.6522801563922169,1.0097980953052963,0.06113155740793473
service6_rst_p20,0.03676309267601502,1.037447212879475,0.8778587631921471,1.2260477022495806,0.6661872332374805
service7_int_p20,-0.09510526689602092,0.9092772126403528,0.7691840847530292,1.0748857988819083,0.2652479348098762
service7_rst_p20,0.06452081381075096,1.066647779018617,0.9243731111255861,1.230820618635211,0.3770466622829626
service8_int_p20,-0.14616074767387757,0.8640188030082316,0.7154648017631124,1.043417496027918,0.1288995822976826
service8_rst_p20,0.09565544478191457,1.1003798570472427,0.9617267759588776,1.2590226871743917,0.16390069671252883
service9_int_p20,-0.09018786557758238,0.9137595051881305,0.7440026631910315,1.122249253437514,0.38973913189910736
service10_int_p20,-0.17421978718500963,0.8401122314630978,0.696412900798348,1.013462790027022,0.06871683365763319
service10_rst_p20,-0.09310284257745649,0.911099795626506,0.7956474460719429,1.043304847754897,0.1780560332160278
service11_int_p20,-0.27248730897119233,0.7614830931177538,0.5622956326237005,1.0312306684626753,0.0781998450773686
service11_rst_p20,0.16925353956399608,1.184420398289917,0.9912214215710515,1.4152757894010952,0.06246946099109304
service12_int_p20,-0.05314429082777366,0.9482431798173397,0.806675918711846,1.1146547296291511,0.5194346681844845
service12_rst_p20,-0.046046178105124576,0.9549978611808446,0.8235347186821712,1.1074468315305674,0.5422758849628132
service13_int_p20,0.08855692626961796,1.0925964482801773,0.8960443905302513,1.3322632354051387,0.3814652527395018
service13_rst_p20,0.016505854364651275,1.0166428285664721,0.8735060112199887,1.1832347203107443,0.8311750732930101
service14_int_p20,-0.08825487417807777,0.915527502664329,0.7784566548672983,1.0767338205589205,0.2861781265904749
service14_rst_p20,0.10320178455006583,1.1087151080849824,0.9655364724932644,1.2731255896751943,0.1435033477934624
service15_int_p20,-0.28441137652113785,0.7524570378695263,0.5921750233211638,0.9561220442293291,0.01995796831466639
service15_rst_p20,-0.02440007599204889,0.9758951994061718,0.812812439944786,1.1716988980738359,0.7936748462645359
service16_int_p20,-0.17109824993568273,0.8427387703740005,0.7037021079077257,1.0092461385444786,0.0628925670672752
service16_rst_p20,-0.10793453767294947,0.897686359145073,0.7754484073165671,1.0391933129165132,0.14839338119638434
