feature,beta,OR,CI_low,CI_high,p_value
const,4103425209.845997,5.184705528587072e+21,5.184705528587072e+21,5.184705528587072e+21,0.0
y0_PHQ,0.1569005698318403,1.1698792868235837,1.0374042383265694,1.3192712109472053,0.010500563529880793
service_total,0.8531360336620414,2.3469955801176963,1.5192374459748377,3.6257586117866363,0.00012072168541091058
service1_int_p5,-0.09470276992591804,0.9096432676264936,0.778571054187843,1.0627814505656779,0.23287976061720528
service2_int_p5,-0.15484113559711893,0.8565512421770347,0.7194890499660233,1.0197236921252213,0.08177860046355492
service2_rst_p5,-0.004426220767385308,0.9955835605110681,0.8735667771990603,1.134643225716485,0.9470961551250915
service3_int_p5,-0.20447267600661764,0.8150770127721461,0.6834660320201195,0.9720315357676891,0.022863009496197864
service3_rst_p5,0.004793991119254162,1.004805500679573,0.8791368643629558,1.1484378998570757,0.9439338398227712
service4_int_p5,-0.15197181233544702,0.8590124939558913,0.7266200868232721,1.0155272034914062,0.07514552253919159
service4_rst_p5,-0.03743296566732096,0.9632589869800082,0.8372044604706739,1.1082930392847012,0.6008959931433422
service5_int_p5,-0.04469456041482656,0.9562895259060176,0.806036760238874,1.1345508076908815,0.6083051651127233
service5_rst_p5,0.03966997777283047,1.0404673401761737,0.9108833213891375,1.188486231499234,0.5588407250733989
service6_int_p5,-0.2268830804711701,0.7970139633397558,0.6589898222774625,0.963946993237608,0.019363486376284798
service6_rst_p5,0.10790971414301793,1.11394716717152,0.9776057403777527,1.2693034011543052,0.1052352112962586
service7_int_p5,-0.10801387144401793,0.8976151451258411,0.7682121552834463,1.0488156731417528,0.17385319879448047
service7_rst_p5,0.05294157797174915,1.0543680450002597,0.9312289582873596,1.193790167739417,0.4034211021189139
service8_int_p5,-0.11670016275929017,0.8898519639250116,0.7513155203945595,1.0539333957660835,0.17649983729481267
service8_rst_p5,-0.018771183196770586,0.9814038982556957,0.8452054823163664,1.1395496499524134,0.8054850632288522
service9_int_p5,-0.133079072733228,0.8753958694279418,0.7288471319562527,1.05141104987911,0.15453999619357847
service9_rst_p5,0.026121711403754324,1.0264658734732557,0.9107311033810843,1.1569080988818872,0.6686680842241208
service10_int_p5,-0.2560603106295078,0.774095281210675,0.6555575990182556,0.9140669031828996,0.0025313828149064114
service10_rst_p5,-0.055719843006392274,0.9458040724022212,0.8231378510926712,1.086750344653894,0.4317567624834324
service11_int_p5,-0.17865776487783114,0.8363920931716491,0.6663380164588326,1.049845148019214,0.12342470963939338
service11_rst_p5,14541565637.539246,5.184705528587072e+21,,,
service12_int_p5,-0.1744972314218034,0.8398791794971757,0.7082091843184023,0.9960292125154242,0.04488479751049722
service12_rst_p5,54161870466.9491,5.184705528587072e+21,5.184705528587072e+21,5.184705528587072e+21,0.0
service13_int_p5,0.07251546464977458,1.075209433698911,0.8963832967792573,1.2897109199479286,0.43459445121660023
service13_rst_p5,-0.2349920937963052,0.7905771000676165,0.39312601445763534,1.5898519257587205,0.5097253983757677
service14_int_p5,-0.12237073427279634,0.8848202744875193,0.7618020747816919,1.0277038407496135,0.10911009551115859
service14_rst_p5,0.0018794005954806863,1.0018811677756863,0.8702410403688631,1.153434310473468,0.9791375841008677
service15_int_p5,-0.2550197868140279,0.7749011649841445,0.6418373392197445,0.9355513909859987,0.00797647840235132
service15_rst_p5,-0.26353581408414206,0.7683301049074477,0.3786955651441439,1.5588541415381783,0.46533419896223616
service16_int_p5,-0.24259857076702537,0.7845864064831148,0.6631558698600447,0.9282521006230424,0.004686201894631502
service16_rst_p5,-0.03182457195568092,0.9686765001985678,0.8448273836661732,1.1106815193004222,0.6484104809873763
