feature,beta,OR,CI_low,CI_high,p_value,kind
const,840180290651.5391,inf,inf,inf,0.0,control
y0_PHQ,1.2186500197175723,3.382618182064296,2.6623359302557135,4.297769351943864,1.9545028215294758e-23,control
check3_base,-876905342648.2596,0.0,,,,control
service_total,4.245000671121017,69.75580695847555,27.049147450492818,179.89005432921516,1.5966722068415077e-18,control
service10_int_top2,-1.0227426608682775,0.359607305533903,0.2688904172869087,0.48092979845901657,5.368369082461951e-12,intensity
service10_rst_top2,-0.30919883480094706,0.7340348038510547,0.5815444917440571,0.9265105265613798,0.009256044644424762,restart
service11_int_top2,0.017876534376399574,1.0180372760229837,0.7834709127505072,1.322831362984287,0.8935725891204674,intensity
service11_rst_top2,-30062676312.481377,0.0,,,,restart
service12_int_top2,-0.3057372074198006,0.7365801618254868,0.5906765744419747,0.9185235343172693,0.006635726554837645,intensity
service12_rst_top2,61808206681.04231,inf,,,,restart
service13_int_top2,-0.10283067781491104,0.9022797365246152,0.6988400507008723,1.1649428536994308,0.43021154450384036,intensity
service13_rst_top2,24266305020.543278,inf,inf,inf,0.0,restart
service14_int_top2,-0.4522405053796061,0.6362011415267235,0.5023159686689138,0.8057715018546143,0.00017587892758644298,intensity
service14_rst_top2,0.269672223792034,1.3095351459148121,1.0009634179718374,1.7132317401377573,0.04918045414119939,restart
service15_int_top2,-1.6217245253158954,0.1975577118721092,0.09538738782311976,0.4091636264588382,1.2673058253704749e-05,intensity
service15_rst_top2,-0.2879866453097417,0.7497716051397326,0.48833875968667984,1.1511628940420247,0.18801236408777866,restart
service16_int_top2,-1.2804456372472375,0.2779134242799593,0.20172647744369027,0.3828742382941388,4.7631385658540916e-15,intensity
service16_rst_top2,0.12248447161833866,1.130301568183592,0.9552317954962548,1.3374571921305944,0.1537069576988519,restart
service1_int_top2,-0.7038999070163173,0.494652438727754,0.3768394356119884,0.6492978494725523,3.945980736643533e-07,intensity
service1_rst_top2,-0.32337115110606895,0.7237052005297702,0.5661987072867692,0.9250272219511896,0.00981323785577555,restart
service2_int_top2,-0.6354134708432575,0.5297164207364914,0.4009916580884184,0.6997638996669792,7.697192497714857e-06,intensity
service2_rst_top2,-0.14644466813810694,0.8637735252099196,0.7097950769195635,1.0511550828044454,0.14375406029690202,restart
service3_int_top2,-0.9121333248302015,0.40166642441968115,0.29901098163788414,0.5395651879484363,1.3836764853353203e-09,intensity
service3_rst_top2,-0.03814409277765394,0.9625742309032569,0.792167841300134,1.1696374198658597,0.7011889382709682,restart
service4_int_top2,-1.1171392046429338,0.32721455078012335,0.22838683300849233,0.4688070710199684,1.1334381996851103e-09,intensity
service4_rst_top2,-0.05740468933061937,0.9442118795641681,0.7614656023200987,1.1708159512310083,0.6009323010440558,restart
service5_int_top2,-0.7919735180563003,0.4529500076143341,0.31264759106922757,0.6562139458557262,2.8224368701606e-05,intensity
service5_rst_top2,0.392892814543339,1.481259611332196,1.1202113611907925,1.958675043102253,0.0058441814488649525,restart
service6_int_top2,-1.3972250273128601,0.2472822141168069,0.15696180481327357,0.389575626320393,1.6903760151297714e-09,intensity
service6_rst_top2,0.4847760606363728,1.6238113328485348,1.2304973788740723,2.1428434468507542,0.0006130777173096873,restart
service7_int_top2,-1.053670449786367,0.34865567450927654,0.2558442565056562,0.4751358542411958,2.5176491871433703e-11,intensity
service7_rst_top2,0.17632047321389469,1.1928202643477686,0.979827434838043,1.4521130277127423,0.07892865260502888,restart
service8_int_top2,-0.6335971180763214,0.5306794469558939,0.39680536718021425,0.7097199249664173,1.9394416616246226e-05,intensity
service8_rst_top2,-0.1357630235890223,0.8730495001135203,0.6578250745425087,1.1586901429358836,0.34717132515394233,restart
service9_int_top2,-1.042385896686777,0.3526123808254773,0.24971900067179698,0.497901604511161,3.1922704323320333e-09,intensity
service9_rst_top2,-0.10063402523424278,0.9042639101084986,0.7471096963071729,1.09447544740273,0.3015218985767908,restart
