feature,beta,OR,CI_low,CI_high,p_value
const,-1.2608672701514236,0.28340812847467756,0.2508238960927964,0.3202253395179046,4.93023379218181e-91
y0_PHQ,0.14796447142523655,1.1594717012541524,1.028490314612819,1.3071339680192282,0.015549366047007024
service_total,0.7234473044775086,2.0615276888370606,1.1640913287174717,3.65082730796059,0.013098280043241515
service1_int_p25,-0.11599997982427111,0.8904752412634594,0.7351591145798888,1.0786048075542807,0.23553719928011763
service1_rst_p25,0.13016400742276957,1.1390151749499355,0.9996419982745943,1.2978201906337457,0.05062757714486925
service2_int_p25,-0.2035144378580315,0.8158584249895259,0.6692361267288409,0.9946040613197286,0.04405880906320127
service2_rst_p25,0.05199776746549249,1.0533733908182954,0.9056388333347984,1.2252075105903013,0.5000344051937261
service3_int_p25,-0.10157704154746267,0.903411576435253,0.7406396360709303,1.1019562506361285,0.3162715844439332
service3_rst_p25,-0.06592037426466772,0.9362054073677896,0.7934319710823305,1.104670087328433,0.4348944636039226
service4_int_p25,-0.11958361241395093,0.8872898162740139,0.7289332279913339,1.0800484706027602,0.23316321359712733
service4_rst_p25,-0.034918009239023454,0.9656845902261711,0.8218076345394876,1.1347506260669564,0.6714076642234008
service5_int_p25,-0.05017466618263296,0.9510632913976681,0.7687905232208632,1.1765511630588987,0.6439253949511602
service5_rst_p25,0.0294459025209809,1.0298837198519413,0.878834607132153,1.206894298208465,0.7159430181159602
service6_int_p25,-0.14486718441905122,0.8651371891789595,0.7166492613024077,1.0443914429497176,0.13158042745725443
service7_int_p25,-0.12324119479393897,0.8840504084878618,0.7418514229811379,1.05350626896004,0.16838006084850388
service7_rst_p25,0.07010656544320958,1.0726224796539194,0.9283982876228933,1.239251514352483,0.3413109036876285
service8_int_p25,-0.15819513563678256,0.8536831817029138,0.7040064027270162,1.0351823106998048,0.10773980481032361
service8_rst_p25,0.1377036157277049,1.1476353587922907,1.0037182763606096,1.3121878397251803,0.04397919889771383
service9_int_p25,-0.15131227240061532,0.8595792338734348,0.6878139011888167,1.0742389155400434,0.1833968018769776
service9_rst_p25,-0.07947926803264359,0.9235971677564524,0.7992249965007573,1.0673236347994182,0.2814522258562133
service10_int_p25,-0.20054563616711144,0.8182841458215921,0.6705511663456414,0.998565026666179,0.04836630719002119
service10_rst_p25,-0.06317550434431829,0.9387786994901484,0.814216679329731,1.0823966997850143,0.3843900189020999
service11_int_p25,-0.2468935487756288,0.7812238513406559,0.5886008006246605,1.0368839207419132,0.08740494678093098
service11_rst_p25,0.1496917003204061,1.1614761048132478,0.9875398466690926,1.3660479084487918,0.07052628380685619
service12_int_p25,-0.03255831268777454,0.9679660034862153,0.8212868717987649,1.1408415452361609,0.6977621143823924
service12_rst_p25,-0.08110331425560705,0.9220984206113533,0.7802504237249274,1.0897341051540501,0.341269362803283
service13_int_p25,0.059828974010019735,1.061654960427205,0.8701035065203508,1.2953760633687643,0.5556244998383761
service13_rst_p25,0.0275214330974278,1.027903646030148,0.8869213799941547,1.191296014906119,0.7146202617378806
service14_int_p25,-0.08582531523967658,0.9177545349494074,0.7784893141880631,1.0819331377703811,0.306716842456795
service14_rst_p25,0.08165239872318598,1.085078569572523,0.9413757491812064,1.2507179021444228,0.2599475967739642
service15_int_p25,-0.27861279889972124,0.7568328930173034,0.5951072779627579,0.9625088604424477,0.023114038893284918
service15_rst_p25,-0.024207747744104554,0.9760829096704653,0.818379974875849,1.1641754145991845,0.7877384453130156
service16_int_p25,-0.1943867875655622,0.8233393852365002,0.6808163889550015,0.9956983325887928,0.04502154936063778
service16_rst_p25,-0.09179718210428696,0.9122901595532262,0.787141367497607,1.057336546627606,0.22269313285192238
