feature,beta_improved,beta_same,beta_worse
y0_phq,3.5481419775409617,-1.1353080716123762,-2.412833905928537
Cz_check1_std,-0.5881338004992954,-0.42554277709676286,1.0136765775960497
Cz_check3_chg,0.8222916862400893,0.09674100200917198,-0.9190326882492544
Cz_check6_chg,0.2803737298729047,0.4489477572733537,-0.7293214871462576
Cz_check3_slope,-0.322120237721252,-0.39802939689694805,0.7201496346182086
Cz_check2_std,0.2680356530372386,0.37059251332980575,-0.63862816636704
Cz_check2_chg,-0.2518467162333949,-0.31728052938114704,0.5691272456145368
Cz_check1_slope,-0.5207647305491702,0.0486103423578792,0.47215438819128924
Cz_check4_slope,-0.23152461656970585,-0.27841348768515223,0.509938104254861
y0_phq_sq,-0.5006857563304287,0.23927217294045122,0.2614135833899735
Cz_check1_min,-0.32137760793497866,-0.17660228446853685,0.4979798924035129
Cz_check5_slope,0.42752740994057087,0.05663395564857361,-0.48416136558914824
Cz_check2_min,0.15545716577692206,0.2855553723894298,-0.4410125381663509
Cz_check2_slope,-0.41096632460212795,-0.023531471687785813,0.43449779628991053
Cz_check3_std,-0.3981654087501719,0.10541363827879655,0.29275177047137185
Cz_check6_min,0.2389216262376012,0.10386729147599887,-0.34278891771360015
Cz_check5_chg,-0.21861813405181713,-0.12379093597277342,0.34240907002458837
Cz_check1_mean,-0.3407096186720067,0.2809305263896473,0.05977909228236274
Cz_check5_mean,-0.24825432349819063,-0.056116983461353985,0.3043713069595389
Cz_check6_slope,0.12614955802298397,0.16755699031036692,-0.2937065483333521
Cz_check4_std,0.044284247214258804,-0.28943777605820187,0.24515352884394406
Cz_check1_max,0.252023199279493,-0.037897914995416934,-0.21412528428406696
Cz_check5_std,0.13038353030603061,0.10847656159400072,-0.2388600919000339
Cz_check2_mean,-0.14684221862172578,-0.08120454269961737,0.22804676132134227
Cz_check3_mean,-0.21331166013858513,0.09475432393904706,0.11855733619953777
Cz_check4_mean,-0.11444199960737868,-0.07925851046487059,0.19370051007224928
Cz_check6_std,0.04938937444545391,-0.1376512214828255,0.08826184703737257
Cz_check2_max,-0.045494222795392225,-0.07653492477545606,0.12202914757087012
Cz_check1_chg,-0.051717051859131,-0.06645749178253617,0.11817454364166931
Cz_check4_max,-0.10897835037950517,0.10030052118827569,0.008677829191228054
Cz_check3_min,-0.07279048550090465,0.055466254451574555,0.01732423104932532
Cz_check4_min,-0.022586757798232326,-0.044987109108123875,0.06757386690634656
Cz_check5_min,-0.06488121426737647,0.024143916160255498,0.040737298107115294
Cz_check6_mean,-0.012413936872130063,0.055984589940961636,-0.04357065306882915
Cz_check5_max,0.0313102618868944,-0.05095409809951985,0.019643836212623646
Cz_check6_max,-0.042852309147163724,0.031359008671428226,0.011493300475739446
Cz_check4_chg,0.04221114801572375,-0.025755008575116277,-0.016456139440607007
Cz_check3_max,-0.004658455281097548,-0.03295637852785295,0.03761483380895279
