feature,beta_improved,beta_same,beta_worse
Cz_check3_slope,-1.3118499869009268,-0.21658317257599294,1.5284331594769096
Cz_check1_slope,-1.0936340849951365,0.11468241493379479,0.978951670061344
Cz_check3_chg,0.6919156619930786,0.15834225160695237,-0.8502579136000206
Cz_check5_slope,0.804958121131752,-0.05805710413828482,-0.7469010169934684
Cz_check1_std,-0.24453375245910008,-0.5021280120340231,0.7466617644931229
Cz_check4_slope,-0.4716999911965445,-0.2686949706661551,0.740394961862698
Cz_check2_slope,-0.5283191693100414,-0.1012437802859883,0.6295629495960314
Cz_check5_chg,-0.5493490334159054,-0.035515325772232036,0.5848643591881401
Cz_check6_chg,-0.024907288166423274,0.5467799369779496,-0.5218726488115303
Cz_check2_std,0.18340069600008377,0.34406693676182365,-0.5274676327619007
Cz_check5_std,0.4430816165076879,0.04610796026842126,-0.48918957677610847
Cz_check2_chg,-0.18588170640505777,-0.25830390320819097,0.44418560961324804
Cz_check2_min,0.0987997728414686,0.3050050943265348,-0.4038048671680112
Cz_check1_min,-0.23161863612187458,-0.13700638737335774,0.3686250234952324
Cz_check4_std,0.17650582730905623,-0.3256719853131019,0.14916615800405747
Cz_check6_slope,-0.3036325577446388,0.19248303373790265,0.1111495240067308
Cz_check5_mean,-0.22278076478104517,-0.06420373399803804,0.28698449877907795
Cz_check6_min,0.14312196159559185,0.10298148195546247,-0.2461034435510686
Cz_check3_std,-0.2324474347881682,0.004887989453829217,0.2275594453343348
Cz_check6_std,-0.14689601298709726,-0.0831377778852749,0.23003379087237805
Cz_check4_chg,-0.21484477313967312,0.05346572773458721,0.1613790454050835
Cz_check1_max,0.20983413394997416,-0.025890244205455316,-0.18394388974452366
Cz_check1_mean,-0.11513741132602924,0.20764630842097623,-0.09250889709495366
Cz_check4_mean,-0.061757318501046224,-0.09403047831976297,0.15578779682081098
Cz_check2_mean,0.04174933363425327,-0.1191889431653181,0.07743960953105665
Cz_check1_chg,-0.0846685548200629,-0.02538616952330554,0.11005472434337146
Cz_check2_max,-0.03043189620588016,-0.07565415044084979,0.10608604664672272
Cz_check3_mean,-0.08705554387935542,0.07933011382053244,0.007725430058829779
Cz_check4_max,-0.020193576606893485,0.07696176172434105,-0.0567681851174505
Cz_check4_min,-0.05642638723670272,-0.019753997756811484,0.07618038499351189
Cz_check5_max,-0.036605801139015674,-0.0349871699269723,0.07159297106598775
Cz_check3_max,-0.026319490533963638,-0.03166620556061319,0.057985696094574456
Cz_check6_mean,-0.0012216912416836364,0.05359323709651782,-0.05237154585483064
Cz_check6_max,-0.047102470093397214,0.032507713060461615,0.014594757032936017
Cz_check5_min,0.00282197159088349,0.018245883242284256,-0.021067854833177104
Cz_check3_min,-0.015705504723819378,-0.0025515986054431426,0.018257103329264387
