y0_phq,service,mean_weeks,std_weeks,n_patients
0,service1,5.787179487179487,10.088497626128476,390
0,service2,2.3333333333333335,6.749105670414991,390
0,service3,3.3205128205128207,8.715582258001426,390
0,service4,3.674358974358974,9.754636450498486,390
0,service5,0.823076923076923,3.6608785227299485,390
0,service6,1.0564102564102564,4.281372585550693,390
0,service7,3.9923076923076923,9.911270057956038,390
0,service8,2.6076923076923078,7.9163862713761555,390
0,service9,28.93846153846154,14.16953422654533,390
0,service10,7.228205128205128,12.668220863852907,390
0,service11,0.21025641025641026,2.041090064696439,390
0,service12,0.7282051282051282,4.42289780387965,390
0,service13,0.2564102564102564,2.044604515930035,390
0,service14,1.6,6.490940432041221,390
0,service15,2.0794871794871796,8.116544657236412,390
0,service16,5.417948717948718,11.728430760333396,390
1,service1,6.621676891615542,10.571986193500242,978
1,service2,3.205521472392638,8.11432184486756,978
1,service3,4.259713701431493,9.845848300293309,978
1,service4,2.756646216768916,7.694982948406698,978
1,service5,1.2044989775051125,4.891783960003618,978
1,service6,1.3558282208588956,5.023683355586745,978
1,service7,2.3895705521472395,7.146049691678769,978
1,service8,1.4161554192229038,5.887634327973733,978
1,service9,28.81083844580777,14.558323753219389,978
1,service10,7.783231083844581,13.340669441026538,978
1,service11,0.3098159509202454,2.7922485765714358,978
1,service12,0.6247443762781186,4.008079925507708,978
1,service13,0.3476482617586912,2.601674698774507,978
1,service14,1.4775051124744376,6.392896517375799,978
1,service15,0.8629856850715747,4.767781279059327,978
1,service16,3.457055214723926,8.92462737268781,978
2,service1,7.133689839572193,10.873521229353024,187
2,service2,4.352941176470588,10.018353713838277,187
2,service3,5.240641711229946,10.842620182521896,187
2,service4,4.005347593582887,9.409005429265575,187
2,service5,1.5401069518716577,5.992173682655291,187
2,service6,2.2887700534759357,7.397935257949638,187
2,service7,2.2566844919786098,6.136451597239856,187
2,service8,2.802139037433155,8.11009773455851,187
2,service9,28.871657754010695,14.21547695128048,187
2,service10,7.06951871657754,12.440252128891862,187
2,service11,0.2727272727272727,2.655929607632713,187
2,service12,0.6577540106951871,3.9933743633422916,187
2,service13,0.4385026737967914,2.9596599572969646,187
2,service14,2.1871657754010694,7.425368136811204,187
2,service15,0.39037433155080214,2.493309414911338,187
2,service16,4.491978609625669,10.321758847733884,187
3,service1,13.977777777777778,15.143005556492103,45
3,service2,11.71111111111111,16.04108921519597,45
3,service3,14.133333333333333,16.861000365735517,45
3,service4,8.71111111111111,14.461630801265075,45
3,service5,3.511111111111111,7.909550407850055,45
3,service6,3.422222222222222,7.778857067972816,45
3,service7,2.1777777777777776,7.663155395611127,45
3,service8,1.711111111111111,6.079554889489936,45
3,service9,27.177777777777777,15.622332858783198,45
3,service10,9.333333333333334,14.572424491331411,45
3,service11,1.5333333333333334,6.46563565664231,45
3,service12,3.3555555555555556,10.226665700902942,45
3,service13,0.2,0.5811865258054232,45
3,service14,1.0,2.8674417556808756,45
3,service15,0.8888888888888888,5.156321782141574,45
3,service16,4.933333333333334,11.096345744833696,45
