dPHQ,service,mean_weeks,std_weeks,n_patients
0,service1,7.601164483260553,11.591463949376038,687
0,service2,3.7933042212518195,9.156622725500005,687
0,service3,5.026200873362446,10.849206491303633,687
0,service4,3.6622998544395924,9.100574510891214,687
0,service5,1.2925764192139737,4.891276752285619,687
0,service6,1.8719068413391557,6.197469526573433,687
0,service7,2.668122270742358,7.4509880237083825,687
0,service8,1.9548762736535663,7.1042969514174725,687
0,service9,27.98981077147016,14.91474699212194,687
0,service10,7.398835516739447,12.971625010481088,687
0,service11,0.2096069868995633,2.3074515687642925,687
0,service12,0.8224163027656477,4.818742941428925,687
0,service13,0.2765647743813683,2.0451428925736397,687
0,service14,1.5836972343522562,6.408570658731484,687
0,service15,0.604075691411936,3.827105615429346,687
0,service16,3.579330422125182,9.152709487556196,687
1,service1,5.779856115107914,9.816981175685223,695
1,service2,2.9007194244604317,7.764719105787461,695
1,service3,3.7985611510791366,9.151624344647344,695
1,service4,2.976978417266187,8.334864942148156,695
1,service5,1.135251798561151,4.830253330701806,695
1,service6,1.112230215827338,4.3970634483236,695
1,service7,2.8143884892086333,8.067079929124848,695
1,service8,1.8115107913669064,6.411355473881751,695
1,service9,29.332374100719424,14.179639957617894,695
1,service10,7.840287769784172,13.240621599790625,695
1,service11,0.3064748201438849,2.648121599315571,695
1,service12,0.6273381294964029,3.925654520973874,695
1,service13,0.31510791366906477,2.4641286541749094,695
1,service14,1.1525179856115109,5.214235232076861,695
1,service15,1.5884892086330935,6.905352726592661,695
1,service16,4.202877697841727,10.109216127458184,695
2,service1,6.68348623853211,10.43704599637965,218
2,service2,3.5045871559633026,8.694745701353847,218
2,service3,4.513761467889908,10.597831419940938,218
2,service4,3.1422018348623855,8.932106746548639,218
2,service5,1.2293577981651376,5.165398334547823,218
2,service6,1.1972477064220184,4.848398178980794,218
2,service7,2.86697247706422,8.390454985923128,218
2,service8,1.8394495412844036,6.647542394034162,218
2,service9,29.678899082568808,13.731622069498574,218
2,service10,7.527522935779817,13.186790523962554,218
2,service11,0.6788990825688074,4.258570923551307,218
2,service12,0.7706422018348624,4.630637952211064,218
2,service13,0.5596330275229358,3.5849614348252645,218
2,service14,2.908256880733945,9.47090308357211,218
2,service15,1.1422018348623852,5.775061754751129,218
2,service16,5.394495412844036,11.5361564430852,218
